,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
259,AT2G35930,0,1,1,1,0,0,1,1
260,AT2G35980,0,0,1,0,0,0,1,0
261,AT2G36220,0,0,1,1,0,0,1,1
262,AT2G36690,0,0,1,1,0,0,1,1
263,AT2G36770,0,0,1,1,0,0,1,1
264,AT2G36780,0,0,1,0,0,0,1,0
265,AT2G37430,0,1,1,1,0,1,1,1
266,AT2G38470,0,1,1,1,0,0,1,1
267,AT2G38790,0,0,1,1,0,0,1,1
268,AT2G39518,0,0,1,0,0,0,1,0
269,AT2G39650,0,0,1,1,0,0,1,1
270,AT2G40000,0,1,1,1,0,1,1,1
271,AT2G40095,0,0,1,0,0,0,1,1
272,AT2G40140,0,0,1,1,0,0,1,1
273,AT2G40270,0,0,1,0,0,0,1,0
274,AT2G41010,0,0,1,1,0,0,1,1
275,AT2G41100,0,0,1,1,0,0,1,1
276,AT2G41470,0,0,0,0,0,1,0,0
277,AT2G41640,0,0,1,1,0,0,1,1
278,AT2G42350,0,0,0,0,0,0,1,0
279,AT2G42360,0,0,1,0,0,0,1,0
280,AT2G43290,0,0,0,0,0,0,1,0
281,AT2G44370,0,0,1,0,0,0,1,0
282,AT2G44500,0,0,0,0,0,0,1,1
283,AT2G44578,0,0,0,0,0,0,1,1
284,AT2G44840,0,1,1,1,0,1,1,1
285,AT2G45080,0,0,1,1,0,0,1,1
286,AT2G45650,0,0,0,0,0,1,0,0
287,AT2G46400,0,0,1,1,0,0,1,1
288,AT2G46940,0,0,0,0,0,0,1,0
289,AT3G01290,0,0,0,0,0,0,1,0
290,AT3G01830,0,0,1,1,0,0,1,1
291,AT3G02800,0,0,0,1,0,0,1,1
292,AT3G02840,0,0,1,1,0,0,1,1
293,AT3G03280,0,0,0,0,0,1,1,0
294,AT3G04210,0,0,1,1,0,0,0,0
295,AT3G04640,0,0,1,1,0,0,1,1
296,AT3G05155,0,0,0,0,0,0,0,1
297,AT3G05200,0,0,1,1,0,0,1,1
298,AT3G05370,0,0,1,0,0,0,0,0
299,AT3G06640,0,0,0,0,0,1,0,0
300,AT3G06890,0,0,1,1,0,0,0,0
301,AT3G07195,0,0,1,1,0,0,1,1
302,AT3G08720,0,0,1,0,0,0,1,0
303,AT3G09020,0,0,1,1,0,0,1,1
304,AT3G09032,0,0,0,0,0,0,1,0
305,AT3G09520,0,0,1,1,0,1,1,1
306,AT3G09830,0,0,0,0,0,0,1,0
307,AT3G09870,0,1,1,1,0,1,1,1
308,AT3G10845,0,0,0,0,0,1,0,0
309,AT3G10930,0,1,1,1,0,1,1,1
310,AT3G11820,0,0,0,1,0,0,1,0
311,AT3G11840,0,0,1,1,0,0,1,1
312,AT3G12830,0,0,1,1,0,0,1,1
313,AT3G13432,0,0,0,0,0,0,1,1
314,AT3G13435,0,0,0,0,0,0,1,0
315,AT3G13437,0,0,0,0,0,0,1,0
316,AT3G14260,0,0,0,0,0,0,1,1
317,AT3G14440,0,0,1,0,0,0,0,0
318,AT3G15210,0,0,1,1,0,0,1,1
319,AT3G15518,0,0,1,1,0,0,1,1
320,AT3G15760,0,0,0,1,0,0,1,0
321,AT3G16510,0,0,1,1,0,0,1,1
322,AT3G16720,0,0,1,1,0,0,1,1
323,AT3G16860,0,0,0,0,0,0,1,0
324,AT3G18690,0,0,1,1,0,0,1,1
325,AT3G18710,0,1,1,1,0,1,1,1
326,AT3G18720,0,0,0,0,0,1,0,0
327,AT3G19030,0,0,1,1,0,0,1,0
328,AT3G19580,0,0,1,1,0,0,1,1
329,AT3G20600,0,0,1,1,0,0,1,0
330,AT3G21150,0,0,1,1,0,0,1,0
331,AT3G21780,0,0,1,1,0,0,1,0
332,AT3G22160,0,0,1,1,0,0,0,0
333,AT3G22555,0,0,0,0,0,1,0,0
334,AT3G22830,0,0,0,0,0,0,1,1
335,AT3G23170,0,0,1,1,0,0,1,1
336,AT3G23230,0,0,1,1,0,0,0,1
337,AT3G23240,0,0,1,0,0,0,0,1
338,AT3G23250,0,0,1,1,0,0,1,1
339,AT3G23630,0,0,1,0,0,0,1,1
340,AT3G25060,0,0,1,1,0,0,0,0
341,AT3G25250,0,0,0,1,0,0,1,1
342,AT3G25600,0,0,1,1,0,0,1,1
343,AT3G25780,0,0,0,0,0,0,1,1
344,AT3G28210,0,0,1,1,0,0,1,0
345,AT3G28340,0,1,1,1,0,0,1,1
346,AT3G28360,0,0,0,0,0,1,0,0
347,AT3G28580,0,0,0,0,0,0,1,0
348,AT3G28910,0,0,0,1,0,0,0,0
349,AT3G29000,0,1,1,1,0,1,1,1
350,AT3G32090,0,0,1,1,0,0,1,1
351,AT3G41762,0,0,0,0,0,1,0,0
352,AT3G43250,0,0,1,1,0,0,0,0
353,AT3G44260,0,1,1,1,0,1,1,1
354,AT3G44770,0,0,0,0,0,0,1,0
355,AT3G45640,0,0,0,0,0,0,1,0
356,AT3G45730,0,0,1,1,0,0,1,0
357,AT3G45960,0,0,0,0,0,0,1,1
358,AT3G46080,0,0,1,1,0,0,1,0
359,AT3G46090,0,0,1,1,0,0,1,0
