,0,3OH10,chitooctaose,eATP,self,sflg,sIF1,smock,snlp,sOGs,spep,sPGN
11384,AT5G50560,0,1,0,1,1,0,0,0,1,1,0
11385,AT5G50570,0,0,0,1,1,0,0,1,1,1,0
11386,AT5G50630,0,0,0,1,1,0,0,1,0,1,0
11387,AT5G50640,0,0,0,0,1,0,0,0,0,1,0
11388,AT5G50650,0,0,0,1,0,0,0,0,0,0,0
11389,AT5G50660,0,0,0,0,1,0,0,0,0,0,0
11390,AT5G50670,0,0,0,1,1,0,0,1,1,1,0
11391,AT5G50720,0,0,0,0,0,0,0,0,0,0,1
11392,AT5G50740,0,0,0,0,0,0,0,0,0,0,1
11393,AT5G50750,0,0,0,0,0,0,0,0,0,1,0
11394,AT5G50760,0,0,0,1,1,0,0,0,0,0,0
11395,AT5G50780,0,0,0,0,0,0,0,0,0,1,0
11396,AT5G50840,0,0,0,1,0,0,0,1,0,1,0
11397,AT5G50850,0,0,0,1,0,0,0,0,0,1,0
11398,AT5G50860,0,0,0,1,0,0,0,0,0,0,0
11399,AT5G50870,0,0,0,1,0,0,0,0,0,0,0
11400,AT5G50900,0,0,0,1,1,0,0,0,0,1,0
11401,AT5G50920,0,0,0,1,0,0,0,0,0,1,0
11402,AT5G50930,0,0,0,1,0,0,0,0,0,0,0
11403,AT5G50940,0,0,0,0,0,0,0,0,0,1,0
11404,AT5G50950,0,1,0,1,0,0,1,0,0,0,0
11405,AT5G50960,0,0,0,0,0,0,0,1,0,1,0
11406,AT5G50990,0,0,0,1,0,0,0,0,0,0,0
11407,AT5G51050,0,0,0,1,1,0,0,0,0,1,0
11408,AT5G51060,0,0,0,1,1,0,0,1,1,1,0
11409,AT5G51070,0,0,0,1,1,0,0,1,1,1,0
11410,AT5G51080,0,0,0,0,0,1,0,0,0,0,0
11411,AT5G51130,0,0,0,0,0,0,0,1,0,1,0
11412,AT5G51160,0,0,0,1,1,0,0,1,1,0,0
11413,AT5G51170,0,0,0,1,0,0,0,0,0,0,0
11414,AT5G51180,0,0,0,1,1,0,0,0,0,0,0
