,0,3OH10,chitooctaose,self,sflg,smock,snlp,sOGs,spep
215,AT1G68825,0,0,0,0,0,0,0,1
216,AT1G69160,0,1,1,0,0,0,1,1
217,AT1G69530,0,0,0,0,0,0,1,0
218,AT1G69570,0,0,1,0,0,0,1,1
219,AT1G69760,0,0,1,1,0,1,0,1
220,AT1G70230,0,0,0,0,0,0,1,0
221,AT1G70270,0,0,0,0,0,0,1,0
222,AT1G70290,0,1,0,0,0,0,0,0
223,AT1G70860,0,1,0,0,0,0,1,0
224,AT1G71000,0,0,0,0,0,0,1,0
225,AT1G71970,0,1,1,1,0,1,1,0
226,AT1G72180,0,0,0,0,0,0,1,0
227,AT1G72200,0,0,0,1,0,0,1,0
228,AT1G72310,0,0,0,1,0,0,0,0
229,AT1G72600,0,0,0,0,0,0,0,1
230,AT1G72610,0,0,0,1,0,0,0,0
231,AT1G72645,0,0,1,1,0,1,1,1
232,AT1G72890,0,0,0,0,0,0,1,0
233,AT1G73360,0,0,0,0,0,0,1,1
234,AT1G73830,0,0,1,0,0,1,1,1
235,AT1G74120,0,0,1,0,0,0,0,0
236,AT1G74205,0,0,0,1,0,0,0,0
237,AT1G74875,0,1,0,0,0,0,0,0
238,AT1G74940,0,1,1,1,0,1,1,1
239,AT1G75140,0,0,1,0,0,0,1,0
240,AT1G75163,0,0,1,0,0,0,0,0
241,AT1G75360,0,1,0,0,0,0,0,0
242,AT1G75580,0,1,1,1,0,1,1,1
243,AT1G75590,0,0,0,0,0,0,1,0
244,AT1G75710,0,0,1,0,0,1,1,1
245,AT1G75770,0,0,0,1,0,1,1,1
246,AT1G75960,0,1,1,1,0,1,1,1
247,AT1G76220,0,0,0,1,0,0,0,0
248,AT1G76870,0,0,1,0,0,0,0,1
249,AT1G76890,0,0,0,0,0,0,1,0
250,AT1G76952,0,0,0,0,0,0,0,1
251,AT1G77200,0,0,0,0,0,0,1,0
252,AT1G77210,0,0,0,0,1,0,0,0
253,AT1G77230,0,0,1,0,0,0,0,0
254,AT1G77680,0,0,1,1,0,0,1,0
255,AT1G77870,0,0,0,0,0,0,1,1
256,AT1G78170,0,0,1,1,0,0,1,0
257,AT1G78270,0,0,0,1,0,0,1,0
258,AT1G78450,0,1,1,0,0,0,1,1
259,AT1G79060,0,1,1,0,0,0,1,0
260,AT1G79110,0,1,1,1,0,1,1,1
261,AT1G79770,0,1,0,0,0,0,1,1
262,AT1G80080,0,1,1,1,0,1,1,1
263,AT1G80440,0,0,0,0,1,0,0,0
264,AT1G80870,0,0,0,0,0,0,1,0
265,AT2G01420,0,0,0,0,0,0,1,0
266,AT2G01505,0,0,0,0,0,0,0,1
267,AT2G01940,0,0,0,0,0,0,1,0
268,AT2G02540,0,0,0,1,0,0,1,0
269,AT2G02620,0,0,0,1,0,0,0,0
270,AT2G02950,0,1,1,1,0,1,1,1
271,AT2G02955,0,0,0,0,0,0,1,0
272,AT2G03370,0,0,0,1,0,0,0,0
273,AT2G03890,0,1,1,1,0,1,1,1
274,AT2G04240,0,0,1,1,0,0,1,1
275,AT2G04560,0,0,1,1,0,0,0,0
276,AT2G04680,0,0,0,0,0,0,1,0
277,AT2G05300,0,0,1,1,0,0,1,0
278,AT2G05530,0,0,0,1,0,0,0,0
279,AT2G07140,0,0,1,0,0,0,0,0
280,AT2G09970,0,0,1,0,0,0,0,0
281,AT2G12461,0,0,1,0,0,0,0,0
282,AT2G12462,0,0,0,1,0,0,0,0
283,AT2G13128,0,0,1,0,0,0,0,0
284,AT2G13570,0,0,0,0,0,0,1,0
285,AT2G13910,0,0,0,1,0,0,0,0
286,AT2G14560,0,0,0,1,0,0,0,0
287,AT2G15880,0,1,0,0,0,0,0,0
288,AT2G17070,0,0,0,1,0,0,0,0
289,AT2G17230,1,0,0,0,0,1,1,0
290,AT2G17845,0,1,1,1,0,0,0,0
291,AT2G17850,1,0,1,1,0,0,0,0
292,AT2G18120,0,0,0,1,0,0,0,0
293,AT2G18300,1,1,1,1,0,1,1,1
294,AT2G18440,0,0,0,1,0,0,0,0
295,AT2G18560,0,0,1,1,0,0,0,1
296,AT2G18860,0,0,0,0,0,0,0,1
297,AT2G18890,0,1,0,0,0,0,1,1
298,AT2G19660,0,0,0,1,0,0,0,0
299,AT2G19780,0,0,0,1,0,0,0,0
300,AT2G20080,0,0,0,1,0,0,1,1
301,AT2G20180,0,1,1,0,0,0,1,1
302,AT2G20670,0,0,0,0,1,0,0,0
303,AT2G20875,0,0,0,0,0,0,0,1
